#"Step","Potential Energy (kJ/mole)","Temperature (K)"
800000,-78647.68274363587,312.478017808475
805000,-78597.81164988587,311.22629294080684
810000,-78948.60071238587,309.080492800737
815000,-79154.14758738587,306.93996565458156
820000,-78701.96008738587,314.52337099080324
825000,-78719.98352488587,312.46272031670185
830000,-78660.80383738587,313.7955002403568
835000,-78658.58118113587,318.51347521947747
840000,-79099.95227488587,309.54569778407455
845000,-79144.00696238587,313.61220268181916
850000,-78986.95227488587,312.46199036889664
855000,-78674.80774363587,312.8561965619027
860000,-79088.53821238587,312.04842416954665
865000,-78760.81164988587,313.1766024567918
870000,-78927.10461863587,315.4858180292738
875000,-78483.65149363587,311.21010519413215
880000,-79103.27258738587,312.10012894872955
885000,-78721.08899363587,307.85964023090054
890000,-79089.51086863587,313.81133263859556
895000,-79146.77258738587,310.89904219237263
900000,-78920.87805613587,311.2512187515872
905000,-78799.11243113587,312.4692183330004
910000,-78634.96789988587,312.17869755818066
915000,-79037.71008738587,311.80706825831726
920000,-79119.63586863587,315.57578415277436
925000,-78877.63196238587,314.88289833398557
930000,-78592.47571238587,314.3607116145453
935000,-78966.77649363587,316.3754293797809
940000,-78345.44446238587,310.999658335427
945000,-79403.45618113587,317.44763680179335
950000,-78988.75696238587,312.75708830609557
955000,-79269.16711863587,313.39557441880976
960000,-78429.36243113587,314.7645527821646
965000,-78850.83118113587,306.6069123226907
970000,-78868.35461863587,312.0230302571154
975000,-79070.52649363587,312.3388187539937
980000,-78529.24914988587,309.20148876731474
985000,-78875.78821238587,314.316404990635
990000,-78677.46008738587,313.5729401854675
995000,-78912.83899363587,308.1293597257006
1000000,-78749.09289988587,312.26773367664566
1005000,-78566.31946238587,309.8713154831869
1010000,-79234.17883738587,311.98997652354507
1015000,-78660.13196238587,312.32007066179017
1020000,-78986.82727488587,313.46080904636295
1025000,-78794.24914988587,312.16375516557116
1030000,-78988.58508738587,316.5032750156848
1035000,-78879.71789988587,312.07427360182504
1040000,-78608.85071238587,317.5876382155695
1045000,-78911.38977488587,313.35559604630095
1050000,-78498.83118113587,316.2990389518916
1055000,-78974.83508738587,311.87145934218694
1060000,-79143.32727488587,313.02990256857413
1065000,-78729.92102488587,315.9188308358297
1070000,-79023.92102488587,311.5180406681144
1075000,-78334.97961863587,309.51114659347684
1080000,-78812.72180613587,314.0045583487392
1085000,-78570.49914988587,309.35471880766727
1090000,-79220.67883738587,316.72170819017856
1095000,-78471.82727488587,310.0452241070076
1100000,-78981.59680613587,313.3067014503022
1105000,-78905.13196238587,309.4120755842378
1110000,-78363.93664988587,314.29942634807907
1115000,-78630.67883738587,311.338081587151
1120000,-78515.67102488587,311.8672199074589
1125000,-79146.79211863587,312.6311316401725
1130000,-78811.26477488587,315.25264890231807
1135000,-79239.79211863587,312.8716643740267
1140000,-78903.38196238587,308.78510931567
1145000,-78773.76868113587,313.7123471941143
1150000,-79042.29211863587,317.48730057806944
1155000,-79066.88586863587,313.6967181426907
1160000,-78950.67102488587,311.6440035429338
1165000,-78761.12414988587,312.18168570873956
1170000,-78910.38586863587,314.5820891002941
1175000,-78628.79211863587,305.7535070597939
1180000,-78900.48743113587,314.72166091004374
1185000,-79092.27258738587,311.89241463600587
1190000,-78752.84289988587,312.57838843999264
1195000,-78777.41321238587,317.3961179843288
1200000,-78849.18664988587,314.91818312704686
1205000,-78805.80383738587,312.96617085038207
1210000,-78793.07336863587,315.4254293044097
1215000,-78579.01477488587,303.2562391200606
1220000,-78506.84289988587,313.46531936788244
1225000,-78856.48743113587,318.15415409549627
1230000,-79350.45618113587,315.29247589917077
1235000,-79082.73352488587,311.3350848270966
1240000,-78992.25696238587,314.87360470421686
1245000,-78799.67883738587,313.0480621035873
1250000,-79776.29602488587,313.57878041731266
1255000,-78891.37414988587,306.4462209357111
1260000,-78936.30774363587,313.8369142139235
1265000,-79643.17102488587,317.5477709600223
1270000,-78760.85852488587,310.3084918215827
1275000,-78948.37414988587,321.0337859799487
1280000,-78969.99914988587,314.61182703515703
1285000,-78805.57727488587,307.6043173260463
1290000,-78542.59289988587,316.2388841043508
1295000,-78878.30383738587,315.4231305999364
1300000,-78904.81946238587,313.33369555298896
1305000,-78767.30774363587,308.9553635272575
1310000,-79485.42493113587,311.64237480960963
1315000,-78391.64368113587,309.5413877984876
1320000,-78996.81164988587,314.9405792437111
1325000,-78876.08508738587,311.66277131391405
1330000,-79160.61633738587,320.2265258453924
1335000,-79214.25696238587,307.4072944586231
1340000,-79555.91711863587,311.3718494914988
1345000,-79061.62805613587,312.80766735363176
1350000,-79164.92883738587,312.541569529278
1355000,-79246.38586863587,318.64495193210524
1360000,-78793.18664988587,313.52104767365705
1365000,-78843.03821238587,311.7994382905874
1370000,-79051.83508738587,310.9142114545485
1375000,-78782.44055613587,309.93448444796076
1380000,-79098.59289988587,314.9884510996394
1385000,-78949.05383738587,311.39055528491474
1390000,-78790.40539988587,311.6316118868764
1395000,-79270.91321238587,312.41205846214643
1400000,-78444.51086863587,302.0121481303953
1405000,-79354.10071238587,316.448177221695
1410000,-78544.27258738587,316.0858267874937
1415000,-78384.28821238587,311.61052425235357
1420000,-78605.41321238587,314.7055677628686
1425000,-79042.04993113587,316.2427442427953
1430000,-78784.27258738587,315.13739307058006
1435000,-78295.63196238587,313.59287888526495
1440000,-78350.11633738587,310.87601258507885
1445000,-78892.03039988587,318.1973701246881
1450000,-79178.86243113587,312.89830785984446
1455000,-78701.07727488587,315.7670658130374
1460000,-79070.89758738587,310.8070619965061
1465000,-78908.79211863587,313.0917994083328
1470000,-78815.86243113587,309.7427888777081
1475000,-78609.21008738587,309.4804796851634
1480000,-79427.68274363587,313.82788274569003
1485000,-79157.81946238587,306.14017956082165
1490000,-78677.62024363587,311.6091318811095
1495000,-78788.99914988587,320.05689084326326
1500000,-79149.05383738587,309.3522693810076
1505000,-78632.24133738587,317.65464477092127
1510000,-78833.19836863587,315.70241476862765
1515000,-79121.02649363587,311.00567967262396
1520000,-79153.15539988587,303.09891635756503
1525000,-79203.38196238587,316.77452670337345
1530000,-78626.75696238587,310.93554479115573
1535000,-78966.28821238587,314.2592602094461
1540000,-79153.96789988587,311.998702598574
1545000,-79259.31555613587,318.97362835345115
1550000,-78487.92883738587,305.46724183663554
1555000,-78986.08899363587,313.99027946830915
1560000,-78974.85461863587,312.292442216645
1565000,-79033.83508738587,311.1094560948704
1570000,-78192.28430613587,311.4729680810355
1575000,-79247.98743113587,314.7870712686226
1580000,-78902.85071238587,321.1634851788853
1585000,-79027.88977488587,311.3625459457369
1590000,-79001.37024363587,313.1567113664001
1595000,-78842.00696238587,312.6582503237704
1600000,-78909.71399363587,310.6257932686444
1605000,-79070.53821238587,317.73383717919893
1610000,-78532.71399363587,320.9198185549684
1615000,-78953.63586863587,313.3723854034632
1620000,-79535.46008738587,313.73259055111185
1625000,-79122.65539988587,313.07130234534054
1630000,-79227.00305613587,320.7070109484656
1635000,-78610.07727488587,308.89642015232016
1640000,-79676.03039988587,315.0107443282205
1645000,-78984.72961863587,315.5129582583627
1650000,-79212.96789988587,313.537622817515
1655000,-79198.38977488587,310.51058616880556
1660000,-78752.55774363587,305.78773742111065
1665000,-78944.69446238587,315.54431040594613
1670000,-79270.23743113587,315.5081853151981
1675000,-78785.13196238587,320.1715805808407
1680000,-78438.59289988587,308.3104697969366
1685000,-79038.68664988587,313.44712684342517
1690000,-78873.17102488587,312.19173775688773
1695000,-78419.01477488587,310.0237859110902
1700000,-79249.86243113587,314.8845907661393
1705000,-79165.69446238587,306.7858049430393
1710000,-79240.82727488587,314.4571760108572
1715000,-79130.17102488587,311.5667558334591
1720000,-79490.21789988587,314.40078257841094
1725000,-78914.53039988587,313.3400934770775
1730000,-79053.79993113587,318.46344426222157
1735000,-79668.03430613587,311.83424083459323
1740000,-79165.17493113587,310.9138132642806
1745000,-79028.96008738587,316.2746878361643
1750000,-79077.02649363587,306.7666552931213
1755000,-79131.81164988587,310.5278824758717
1760000,-79343.87024363587,309.06181653007286
1765000,-79045.87805613587,311.1733076360207
1770000,-79447.15539988587,316.92102779445065
1775000,-79245.41711863587,310.7575257125106
1780000,-79213.77258738587,315.3613481528805
1785000,-79195.26868113587,313.5811328593824
1790000,-79087.73352488587,311.7431269228967
1795000,-78972.08508738587,316.05365953318034
1800000,-79395.01477488587,309.2720057762209
1805000,-78750.00696238587,311.45184797796907
1810000,-79378.72961863587,307.29514530685657
1815000,-78378.95227488587,314.0805990266164
1820000,-78905.79211863587,318.0204006637871
1825000,-78641.30774363587,308.9990629924166
1830000,-79257.75696238587,314.9117130022079
1835000,-79093.57727488587,315.5652808606344
1840000,-79368.53430613587,313.91333562073464
1845000,-78771.11633738587,312.8066309172476
1850000,-79108.24133738587,314.97852180824833
1855000,-78986.63586863587,312.63772784604276
1860000,-79319.72180613587,312.7383305160674
1865000,-78669.81946238587,314.0725875116012
1870000,-79571.13586863587,313.6115264232368
1875000,-79244.42102488587,317.5108895280969
1880000,-78813.76868113587,317.3680631049651
1885000,-78851.21789988587,317.6310128375671
1890000,-79546.55383738587,317.82266214092436
1895000,-79255.90539988587,312.79984862751854
1900000,-79074.12024363587,310.5163534309332
1905000,-78923.80774363587,307.7436148731244
1910000,-78886.67883738587,317.1358857264363
1915000,-79087.38196238587,315.7844740523123
1920000,-78890.69055613587,314.1961272547312
1925000,-79524.18664988587,320.05695612305675
1930000,-79210.85071238587,307.62227307511165
1935000,-79225.97961863587,312.3840503402413
1940000,-79179.03039988587,311.52118605633206
1945000,-79095.15149363587,311.43946959108627
1950000,-78713.90539988587,313.73930173958746
1955000,-78755.67102488587,322.4398987850739
1960000,-78880.93274363587,312.3201358461556
1965000,-78457.12805613587,318.25024561611286
1970000,-78996.06946238587,318.5192513154187
1975000,-79160.94446238587,309.7215492057578
1980000,-79172.64758738587,313.2683726438879
1985000,-79416.77258738587,316.89702707779765
1990000,-79006.34680613587,312.59132768939867
1995000,-79259.22571238587,316.62995043271286
2000000,-79432.94446238587,314.8578114101608
2005000,-79245.90930613587,316.8111831424457
2010000,-79021.27258738587,313.1054865399129
2015000,-79222.52258738587,307.5613298610952
2020000,-78807.56946238587,311.6898252587034
2025000,-79007.70618113587,317.2652189086216
2030000,-79376.71789988587,314.85239524376146
2035000,-79032.61243113587,309.2430102142939
2040000,-78803.39758738587,310.07727423947614
2045000,-79497.84289988587,306.66458333751444
2050000,-79122.47961863587,309.2308762377647
2055000,-79014.79211863587,313.2648829151807
2060000,-79033.75696238587,318.14462227370655
2065000,-78824.32727488587,311.02075969995906
2070000,-79638.24914988587,313.38804296320416
2075000,-79356.90539988587,316.8047351309124
2080000,-79370.31946238587,317.90508653449217
2085000,-79308.98352488587,317.0727835959182
2090000,-79372.51477488587,318.21679677239393
2095000,-79484.69836863587,313.45574671127684
2100000,-79349.68274363587,309.66068346989533
2105000,-78883.98352488587,319.25300110054627
2110000,-79197.20618113587,314.55498461823566
2115000,-78471.04602488587,320.2009365323703
2120000,-79320.51477488587,312.246703275596
2125000,-79027.09680613587,314.23389955818163
2130000,-78844.28039988587,315.8803774259651
2135000,-79039.42883738587,318.45737799866913
2140000,-78670.29602488587,316.26295792376817
2145000,-79183.29993113587,319.25431184732764
2150000,-79329.15539988587,306.2068994145873
2155000,-78865.49133738587,315.3630093231624
2160000,-78785.76477488587,309.6808823111608
2165000,-79152.60461863587,313.4702171874176
2170000,-78811.87414988587,316.3211516011031
2175000,-79043.16711863587,316.1956784553018
2180000,-79109.17493113587,315.4016683562283
2185000,-79381.39368113587,315.04182930644873
2190000,-79076.49524363587,317.31112309004686
2195000,-79359.87414988587,310.63293912115336
2200000,-78915.49133738587,318.75893755591284
2205000,-79301.91321238587,307.16845446903193
2210000,-78644.88196238587,311.98619546796925
2215000,-79341.84289988587,303.8427961857559
2220000,-79268.41321238587,311.87022048020185
2225000,-79183.69836863587,316.4390220213728
2230000,-79450.38586863587,316.78886700241696
2235000,-79144.04211863587,311.5253121985556
2240000,-79479.77649363587,314.7409235017875
2245000,-78836.90539988587,316.8599917901092
2250000,-79304.54211863587,314.9430360342636
2255000,-79099.63196238587,309.0881403636097
2260000,-79052.57727488587,310.5728095786125
2265000,-79255.17883738587,312.48062890134895
2270000,-79383.63977488587,319.4300882359913
2275000,-79318.95618113587,308.372835000902
2280000,-79089.57727488587,313.44690505560294
2285000,-79062.82727488587,313.3099211865678
2290000,-79238.13977488587,319.44459872412153
2295000,-78870.99133738587,312.4188160280042
2300000,-79310.26477488587,314.4098122041723
2305000,-79036.79211863587,319.64667345630755
2310000,-79247.88586863587,313.98463820646344
2315000,-78934.60852488587,314.42954683045497
2320000,-78899.96008738587,317.75623294779126
2325000,-78759.46008738587,316.42440317178733
2330000,-79379.21008738587,314.5427845859295
2335000,-79269.72180613587,309.8203053343034
2340000,-79011.15539988587,311.0561063072284
2345000,-79442.25696238587,305.35503438059624
2350000,-79274.17102488587,322.4186505778657
2355000,-79453.24914988587,310.2960283411631
2360000,-78778.12414988587,313.8449535556427
2365000,-79065.30774363587,311.15754599867273
2370000,-78526.57336863587,311.42598908364414
2375000,-78790.35461863587,312.7162256896118
2380000,-78993.03430613587,318.21471701238903
2385000,-79240.56164988587,305.74154130996845
2390000,-78968.21789988587,316.38159478875644
2395000,-79148.42102488587,315.06237305694793
2400000,-78948.44446238587,315.5060536833496
2405000,-79299.17883738587,309.5923980181756
2410000,-79202.60852488587,315.6091359162572
2415000,-79345.54211863587,310.09233611336754
2420000,-78881.71008738587,307.7623883184599
2425000,-79264.15539988587,315.8842389371579
2430000,-78662.83118113587,318.40301975542803
2435000,-78890.31164988587,311.3844094382237
2440000,-79349.52649363587,312.38557781005926
2445000,-79122.75305613587,311.7689236702166
2450000,-79040.54602488587,317.36774473348567
2455000,-79074.72571238587,309.7610560182095
2460000,-78937.83899363587,317.3389057558159
2465000,-79052.60852488587,314.47733190011013
2470000,-78782.38196238587,309.5664677449438
2475000,-79056.73352488587,314.9771897286631
2480000,-78499.59680613587,317.12762719035715
2485000,-78973.01086863587,312.7073405035357
2490000,-79459.35071238587,314.42447958407365
2495000,-78736.42102488587,309.7074536718249
2500000,-79752.70227488587,311.75008743857364
2505000,-78854.75305613587,318.11752633702827
2510000,-79011.46789988587,310.38093935594264
2515000,-79385.15539988587,319.6808244643348
2520000,-79067.99133738587,312.703614273385
2525000,-78772.47961863587,314.06811016544646
2530000,-79171.20618113587,310.2701659170071
2535000,-79313.47571238587,314.18496121094677
2540000,-79129.85071238587,305.4970027861285
2545000,-79402.53430613587,306.20587908714356
2550000,-78986.20227488587,313.72885361287564
2555000,-79267.33508738587,312.92679427418926
2560000,-78921.54211863587,314.4571721310081
2565000,-79381.78821238587,313.3702207615627
2570000,-78865.63977488587,310.0977152931904
2575000,-79089.90539988587,314.59338307078275
2580000,-78825.28039988587,316.7419005254026
2585000,-78813.46008738587,306.3409931463816
2590000,-79300.65149363587,316.64508464632223
2595000,-79221.17102488587,313.81075997412023
2600000,-79397.80383738587,307.16479823082074
2605000,-78944.79211863587,310.7478880614426
2610000,-79014.78430613587,312.9081586746179
2615000,-79165.17883738587,314.78533288391253
2620000,-79047.28039988587,308.0565772976029
2625000,-78903.57336863587,309.4544918063731
2630000,-78988.65930613587,319.60546447386747
2635000,-79233.63196238587,313.8687466070443
2640000,-79433.04993113587,317.9084325954201
2645000,-79158.58118113587,311.8647645571559
2650000,-79086.26086863587,311.26478493942363
2655000,-79285.87024363587,318.4214590265006
2660000,-78855.67883738587,312.5762163416229
2665000,-78776.81164988587,305.1401427084446
2670000,-79016.00696238587,302.21348346317484
2675000,-79102.87805613587,322.03624498350314
2680000,-78850.54602488587,312.7104811260793
2685000,-79106.79211863587,318.06739874349466
2690000,-78997.54602488587,317.3840738696341
2695000,-79073.73352488587,316.41506798165545
2700000,-78810.05383738587,320.05693706695905
2705000,-78928.62414988587,310.9348910984901
2710000,-78852.19055613587,315.1238350518635
2715000,-79182.29602488587,309.6757037562753
2720000,-78719.91321238587,315.13118879954783
2725000,-78519.81164988587,310.0141624807366
2730000,-78938.94446238587,311.6818331108376
2735000,-79115.18664988587,317.3429841669166
2740000,-79089.10461863587,315.2591023746044
2745000,-78858.50696238587,310.03568595791023
2750000,-79035.42102488587,311.35775244326
2755000,-79225.15149363587,312.9800010761754
2760000,-79311.47571238587,316.1967478957255
2765000,-78421.05383738587,309.10767734124005
2770000,-79025.29211863587,312.45762883370645
2775000,-79026.07727488587,320.8360002082862
2780000,-79040.17883738587,317.5173134440834
2785000,-79263.58118113587,318.4124089215796
2790000,-78796.95227488587,312.00261404994575
2795000,-78969.70227488587,311.7265602079077
2800000,-79188.96399363587,313.5383035633675
2805000,-79324.23743113587,314.32418582552845
2810000,-78759.47571238587,315.6634670130052
2815000,-79561.23743113587,315.03851451978596
2820000,-78982.10852488587,309.04610392717876
2825000,-79163.70227488587,310.0454589529774
2830000,-79124.65149363587,307.84409319262073
2835000,-79133.17102488587,317.5279009287765
2840000,-78900.98352488587,315.5889370264487
2845000,-78952.68274363587,310.928758808773
2850000,-79202.28430613587,312.28792150820294
2855000,-79107.70227488587,311.4379019550324
2860000,-79049.51868113587,312.29485011467716
2865000,-79013.15539988587,318.77135147084573
2870000,-79707.40149363587,315.0456344314533
2875000,-79018.51868113587,313.2908401336308
2880000,-78788.03430613587,314.0632491315004
2885000,-78959.28430613587,313.957053530832
2890000,-79144.97961863587,310.8779493612923
2895000,-78930.82727488587,312.2777194023552
2900000,-79348.33508738587,317.8426693538729
2905000,-78814.22180613587,318.9901132598044
2910000,-79152.85071238587,309.39581909086195
2915000,-78872.87024363587,313.8290631538398
2920000,-79233.57336863587,318.5782374851243
2925000,-79318.06946238587,319.93158090519717
2930000,-78820.90539988587,318.3497065135969
2935000,-78738.80383738587,310.3756629449974
2940000,-79087.46008738587,309.2182336880781
2945000,-79047.95618113587,316.91127471655705
2950000,-78957.91711863587,318.594623325361
2955000,-79437.07336863587,312.1417752724358
2960000,-78878.86243113587,317.3705481801353
2965000,-79267.29211863587,315.0173053529602
2970000,-78885.44446238587,312.8281638862258
2975000,-79132.91711863587,309.5443076290237
2980000,-79271.95618113587,309.0397266155034
2985000,-79074.65149363587,307.86073431955936
2990000,-78944.88977488587,310.778002189127
2995000,-79035.22961863587,306.5911526169828
3000000,-79415.32727488587,307.8437468823382
3005000,-79315.89368113587,313.7953660767871
3010000,-79204.88586863587,313.41802100453464
3015000,-78631.77649363587,309.73010607361044
3020000,-79324.96399363587,310.1989803557869
3025000,-79463.89758738587,309.1581529048789
3030000,-78868.91321238587,315.54672448959036
3035000,-79329.78821238587,312.16969634511366
3040000,-78929.37024363587,312.29096869718165
3045000,-78364.02258738587,308.37343778807485
3050000,-79600.04211863587,315.97801890656615
3055000,-79148.92102488587,316.0593261329533
3060000,-79183.08508738587,312.06716119208244
3065000,-79367.99914988587,311.8657929025636
3070000,-79241.65539988587,310.27986348788204
3075000,-79347.61633738587,310.91240638358715
3080000,-78731.59289988587,313.97096148843616
3085000,-79271.35852488587,307.3523886380903
3090000,-79354.24524363587,319.71492152582874
3095000,-79380.13586863587,309.4865924755512
3100000,-78744.41321238587,315.4153337294106
3105000,-78915.14368113587,315.12100635419347
3110000,-78853.98352488587,311.5788080857568
3115000,-78946.78821238587,315.018221735239
3120000,-78899.44836863587,314.4759776248784
3125000,-78911.93664988587,310.13826069154163
3130000,-79305.76477488587,324.8265221475426
3135000,-78851.42493113587,309.65180331137947
3140000,-79118.04993113587,311.8948229726054
3145000,-78494.37805613587,317.25022508724646
3150000,-79341.58899363587,314.4717149354131
3155000,-79157.10071238587,305.94607691771904
3160000,-79226.51477488587,311.9813254645727
3165000,-78888.46008738587,318.4078127344243
3170000,-78979.16711863587,319.97209355977986
3175000,-79429.05383738587,312.59434588661713
3180000,-79102.75696238587,316.1581330370453
3185000,-78558.96789988587,312.066719077945
3190000,-79275.08118113587,310.74161349352545
3195000,-79217.66321238587,310.93221594093035
3200000,-79365.35461863587,314.6209749729211
3205000,-78528.88977488587,310.8833068491146
3210000,-79061.87024363587,304.74713443005754
3215000,-79180.41711863587,312.81021991890356
3220000,-79428.27649363587,314.8128707208968
3225000,-78913.24524363587,317.8679533903224
3230000,-79102.00696238587,314.9399302862169
3235000,-78930.94836863587,320.61132036508656
3240000,-79266.38977488587,314.838169754747
3245000,-79270.54602488587,315.28065015704186
3250000,-79315.06946238587,316.6189727475375
3255000,-79351.41321238587,306.0637753207023
3260000,-78953.94446238587,313.01794920248835
3265000,-78886.76477488587,311.9479472181229
3270000,-79217.19446238587,310.3174142880499
3275000,-78825.90539988587,314.7315807827018
3280000,-79482.04993113587,309.72552430410104
3285000,-78811.04211863587,315.5516957538104
3290000,-79038.03039988587,312.39937128901914
3295000,-79033.40539988587,315.2279122872522
3300000,-78897.49914988587,309.0823521594491
3305000,-79041.10071238587,314.3418616468678
3310000,-79117.28430613587,311.60065321264454
3315000,-79259.96008738587,312.3063730557695
3320000,-78808.18664988587,311.42090283057485
3325000,-79180.79211863587,315.7822749398265
3330000,-79260.02649363587,313.7730412116361
3335000,-79183.94836863587,313.3666953600498
3340000,-79547.73352488587,304.1750064970618
3345000,-79059.45227488587,312.3437196819841
3350000,-79082.23352488587,313.9239747819362
3355000,-78896.27258738587,313.5915467132107
3360000,-79389.69446238587,312.670372084614
3365000,-79477.01477488587,315.50388371765047
